osm_id,state,city,county,district,city_district,town,suburb,village,neighbourhood,road,address,status
1068724994,Tỉnh Thái Bình,,Tiền Hải,,,Tiền Hải,,,,Đường Ngô Duy Phớn,"Đường Ngô Duy Phớn, Tiền Hải, Tỉnh Thái Bình",3
1011726696,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 60 Ngõ 345 Khương Trung,"Ngách 60 Ngõ 345 Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",3
986697462,Tỉnh Hưng Yên,,Khoái Châu,,,,,,,ĐH.51,"ĐH.51, Khoái Châu, Tỉnh Hưng Yên",3
1038766565,Thành phố Đà Nẵng,,,,Liên Chiểu,,,,,Trung tam AVL,"Trung tam AVL, Liên Chiểu, Thành phố Đà Nẵng",3
1037168255,Thành phố Hà Nội,,,,Quận Hà Đông,,,,,Ngách 33 Ngõ 4 Thanh Bình,"Ngách 33 Ngõ 4 Thanh Bình, Quận Hà Đông, Thành phố Hà Nội",3
987950082,Thành phố Hà Nội,,,,Hoàng Mai,,,,,Ngõ 28 Thanh Đàm,"Ngõ 28 Thanh Đàm, Hoàng Mai, Thành phố Hà Nội",3
987950097,Thành phố Hà Nội,,,,Hoàng Mai,,,,,Đường Giáp Bát,"Đường Giáp Bát, Hoàng Mai, Thành phố Hà Nội",3
1000954428,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngõ 129 Nguyễn Xiển,"Ngõ 129 Nguyễn Xiển, Quận Thanh Xuân, Thành phố Hà Nội",3
1001966853,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 4 Ngõ 58 Hoàng Đạo Thành,"Ngách 4 Ngõ 58 Hoàng Đạo Thành, Quận Thanh Xuân, Thành phố Hà Nội",3
1001066388,Tỉnh Quảng Ninh,,Đông Triều,,,Đông Triều,Đông Triều,,,Phố Chợ Cột,"Phố Chợ Cột, Đông Triều, Tỉnh Quảng Ninh",3
1014993696,Thành phố Hà Nội,,,,Huyện Đan Phượng,,,,,Ngõ 17 Nại Sa,"Ngõ 17 Nại Sa, Huyện Đan Phượng, Thành phố Hà Nội",3
988194027,Thành phố Hà Nội,,,,Hoàng Mai,,,,,Ngõ 115 Thúy Lĩnh,"Ngõ 115 Thúy Lĩnh, Hoàng Mai, Thành phố Hà Nội",3
1006583237,Hà Tĩnh,Hà Tĩnh,,,,,Nguyễn Du,,,TL 26,"TL 26, Nguyễn Du, Hà Tĩnh",3
1008018182,Tỉnh Thanh Hóa,Sầm Sơn,Sầm Sơn,,,,,,,Đào Duy Từ,"Đào Duy Từ, Sầm Sơn, Tỉnh Thanh Hóa",3
1018480971,Thành phố Hà Nội,,,,Hoàng Mai,,,,,Hẻm 7 Ngách 50 Ngõ 250 Kim Giang,"Hẻm 7 Ngách 50 Ngõ 250 Kim Giang, Hoàng Mai, Thành phố Hà Nội",3
1050476154,Tỉnh Bắc Ninh,Thành phố Bắc Ninh,,,,,,,,Đường Núi Bàn Cờ,"Đường Núi Bàn Cờ, Thành phố Bắc Ninh, Tỉnh Bắc Ninh",3
992400327,Thành phố Hà Nội,,,,,Thị xã Sơn Tây,,,,Đường Hữu Nghị,"Đường Hữu Nghị, Thị xã Sơn Tây, Thành phố Hà Nội",3
1008859893,Thành phố Hà Nội,,,,Quận Hà Đông,,,,,Ngách 1 Ngõ 5 Tô Hiệu,"Ngách 1 Ngõ 5 Tô Hiệu, Quận Hà Đông, Thành phố Hà Nội",3
842553045,Tỉnh Quảng Bình,,Lệ Thủy,,,,,,,Quốc lộ 9B,"Quốc lộ 9B, Lệ Thủy, Tỉnh Quảng Bình",3
317760400,Tỉnh Bình Phước,Thành phố Đồng Xoài,,,,,,,,Ông Ích Khiêm,"Ông Ích Khiêm, Thành phố Đồng Xoài, Tỉnh Bình Phước",3
1022140461,Tỉnh Thanh Hóa,,Bỉm Sơn,,,Bỉm Sơn,,,,Phố Nguyễn Tri Phương,"Phố Nguyễn Tri Phương, Bỉm Sơn, Tỉnh Thanh Hóa",3
1010451122,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 6 Ngõ 54 Bùi Xương Trạch,"Ngách 6 Ngõ 54 Bùi Xương Trạch, Quận Thanh Xuân, Thành phố Hà Nội",3
1012146693,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 229 Ngõ 211 Khương Trung,"Ngách 229 Ngõ 211 Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",3
1012755888,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Hẻm 20 Ngách 24 Ngõ 420 Khương Đình,"Hẻm 20 Ngách 24 Ngõ 420 Khương Đình, Quận Thanh Xuân, Thành phố Hà Nội",3
1014074748,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 68 Ngõ 132 Khương Trung,"Ngách 68 Ngõ 132 Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",3
1012010717,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 91 Ngõ 345 Khương Trung,"Ngách 91 Ngõ 345 Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",3
1012322177,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 85 Ngõ 211 Khương Trung,"Ngách 85 Ngõ 211 Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",3
1012755887,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 10 Ngõ 420 Khương Đình,"Ngách 10 Ngõ 420 Khương Đình, Quận Thanh Xuân, Thành phố Hà Nội",3
1012793552,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Hẻm 78 Ngách 78 Ngõ 29 Khương Hạ,"Hẻm 78 Ngách 78 Ngõ 29 Khương Hạ, Quận Thanh Xuân, Thành phố Hà Nội",3
1014993693,Thành phố Hà Nội,,,,Huyện Đan Phượng,,,,,Ngõ 22 Nại Sa,"Ngõ 22 Nại Sa, Huyện Đan Phượng, Thành phố Hà Nội",3
1050691171,Tỉnh Bắc Giang,Bắc Giang,,,,,,,,Quách Nhẫn,"Quách Nhẫn, Bắc Giang, Tỉnh Bắc Giang",3
1016031978,Tỉnh Lâm Đồng,Bảo Lộc,,,,,,,,Lý Thái Tổ,"Lý Thái Tổ, Bảo Lộc, Tỉnh Lâm Đồng",3
1016171058,Tỉnh Lâm Đồng,Bảo Lộc,,,,,,,,Hẻm 110 Đường Phan Chu Trinh,"Hẻm 110 Đường Phan Chu Trinh, Bảo Lộc, Tỉnh Lâm Đồng",3
1054316664,Tỉnh Phú Thọ,,,,,Thị xã Phú Thọ,,,,Đường Tân Thành,"Đường Tân Thành, Thị xã Phú Thọ, Tỉnh Phú Thọ",3
1018689198,Tỉnh Phú Thọ,Việt Trì,,,,,,,,Tản Đà,"Tản Đà, Việt Trì, Tỉnh Phú Thọ",3
